"DistNum","DistName","FreeLunch","AvgMCA"
775,"KERKHOVEN-MURDOCK-SUNBURG",0.0333333333333333,1149.1
777,"BENSON PUBLIC SCHOOL DISTRICT",0.290322580645161,1136.7
786,"BERTHA-HEWITT PUBLIC SCHOOL DIST.",0.384615384615385,1142
787,"BROWERVILLE PUBLIC SCHOOL DISTRICT",0.347826086956522,1144
803,"WHEATON AREA PUBLIC SCHOOL DISTRICT",0.241379310344828,1152
811,"WABASHA-KELLOGG PUBLIC SCHOOL DIST.",0.145833333333333,1152.7
813,"LAKE CITY PUBLIC SCHOOL DISTRICT",0.11340206185567,1148.3
818,"VERNDALE PUBLIC SCHOOL DISTRICT",0.166666666666667,1143.1
820,"SEBEKA PUBLIC SCHOOL DISTRICT",0.315789473684211,1142.2
821,"MENAHGA PUBLIC SCHOOL DISTRICT",0.267857142857143,1140.7
829,"WASECA PUBLIC SCHOOL DISTRICT",0.266272189349112,1144
831,"FOREST LAKE PUBLIC SCHOOL DISTRICT",0.119092627599244,1152.8
832,"MAHTOMEDI PUBLIC SCHOOL DISTRICT",0.0208333333333333,1157.9
833,"SOUTH WASHINGTON COUNTY SCHOOL DIST",0.148936170212766,1152.2
834,"STILLWATER AREA PUBLIC SCHOOL DIST.",0.106232294617564,1152.7
836,"BUTTERFIELD PUBLIC SCHOOL DISTRICT",0.294117647058824,1137.1
837,"MADELIA PUBLIC SCHOOL DISTRICT",0.285714285714286,1145.8
840,"ST. JAMES PUBLIC SCHOOL DISTRICT",0.287671232876712,1136.2
846,"BRECKENRIDGE PUBLIC SCHOOL DISTRICT",0.292307692307692,1149.1
850,"ROTHSAY PUBLIC SCHOOL DISTRICT",0.3,1151.4
852,"CAMPBELL-TINTAH PUBLIC SCHOOL DIST.",0.230769230769231,1135.4
857,"LEWISTON-ALTURA PUBLIC SCHOOL DIST.",0.17741935483871,1146.2
858,"ST. CHARLES PUBLIC SCHOOL DISTRICT",0.206349206349206,1155.3
861,"WINONA AREA PUBLIC SCHOOL DISTRICT",0.264957264957265,1141.1
876,"ANNANDALE PUBLIC SCHOOL DISTRICT",0.0542635658914729,1149.6
877,"BUFFALO-HANOVER-MONTROSE PUBLIC SCH",0.112385321100917,1149.4
879,"DELANO PUBLIC SCHOOL DISTRICT",0.0210526315789474,1153.7
881,"MAPLE LAKE PUBLIC SCHOOL DISTRICT",0.0759493670886076,1148.6
882,"MONTICELLO PUBLIC SCHOOL DISTRICT",0.167213114754098,1151.7
883,"ROCKFORD PUBLIC SCHOOL DISTRICT",0.170940170940171,1148.8
885,"ST. MICHAEL-ALBERTVILLE SCHOOL DIST",0.0436681222707424,1156
891,"CANBY PUBLIC SCHOOL DISTRICT",0.0416666666666667,1141.7
911,"CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST",0.210126582278481,1146.7
912,"MILACA PUBLIC SCHOOL DISTRICT",0.26530612244898,1142.6
914,"ULEN-HITTERDAL PUBLIC SCHOOL DIST",0.133333333333333,1152.1
915,"SOUTHERN PLAINS EDUCATION COOP.",0.473684210526316,1125.4
916,"NORTHEAST METRO 916",0.61864406779661,1122.4
917,"INTERMEDIATE SCHOOL DISTRICT 917",0.393939393939394,1126.2
966,"WRIGHT TECHNICAL CENTER",0.529411764705882,1128
991,"REGION 6 AND 8-SW/WC SERVICE COOP",0.576923076923077,1124.4
1000,"PERPICH CENTER FOR ARTS EDUCATION",0.146067415730337,1148.6
2071,"LAKE CRYSTAL-WELLCOME MEMORIAL",0.160714285714286,1143
2125,"TRITON SCHOOL DISTRICT",0.226666666666667,1147.5
2134,"UNITED SOUTH CENTRAL SCHOOL DIST.",0.333333333333333,1146.2
2135,"MAPLE RIVER SCHOOL DISTRICT",0.213483146067416,1149.6
2137,"KINGSLAND PUBLIC SCHOOL DISTRICT",0.09375,1152.8
2142,"ST. LOUIS COUNTY SCHOOL DISTRICT",0.364341085271318,1141.3
2143,"WATERVILLE-ELYSIAN-MORRISTOWN",0.235294117647059,1144.7
2144,"CHISAGO LAKES SCHOOL DISTRICT",0.134275618374558,1155.7
2149,"MINNEWASKA SCHOOL DISTRICT",0.146067415730337,1146.7
2154,"EVELETH-GILBERT SCHOOL DISTRICT",0.228070175438596,1146.2
2155,"WADENA-DEER CREEK SCHOOL DISTRICT",0.304878048780488,1144.4
2159,"BUFFALO LK-HECTOR-STEWART PUBLIC SC",0.243243243243243,1141.6
2164,"DILWORTH-GLYNDON-FELTON",0.111111111111111,1151.5
2165,"HINCKLEY-FINLAYSON SCHOOL DISTRICT",0.366197183098592,1141.8
2167,"LAKEVIEW SCHOOL DISTRICT",0.123076923076923,1139.8
2168,"NRHEG SCHOOL DISTRICT",0.2125,1147
2169,"MURRAY COUNTY CENTRAL SCHOOL DIST.",0.218181818181818,1152.4
2170,"STAPLES-MOTLEY SCHOOL DISTRICT",0.308510638297872,1140.5
2171,"KITTSON CENTRAL SCHOOL DISTRICT",0.0416666666666667,1156.3
2172,"KENYON-WANAMINGO SCHOOL DISTRICT",0.19047619047619,1146.3
2174,"PINE RIVER-BACKUS SCHOOL DISTRICT",0.311475409836066,1148.2
2176,"WARREN-ALVARADO-OSLO SCHOOL DIST.",0.212121212121212,1142.6
2180,"MACCRAY SCHOOL DISTRICT",0.306122448979592,1144.4
2184,"LUVERNE PUBLIC SCHOOL DISTRICT",0.126436781609195,1153
2190,"YELLOW MEDICINE EAST",0.265625,1142.5
2198,"FILLMORE CENTRAL",0.220338983050847,1145.9
2215,"NORMAN COUNTY EAST SCHOOL DISTRICT",0.277777777777778,1143.9
2310,"SIBLEY EAST SCHOOL DISTRICT",0.171171171171171,1149.1
2311,"CLEARBROOK-GONVICK SCHOOL DISTRICT",0.230769230769231,1143.9
2342,"WEST CENTRAL AREA",0.102040816326531,1146.4
2358,"TRI-COUNTY SCHOOL DISTRICT",0.294117647058824,1150.1
2364,"BELGRADE-BROOTEN-ELROSA SCHOOL DIST",0.226415094339623,1147
2365,"G.F.W.",0.205882352941176,1140.7
2396,"A.C.G.C. PUBLIC SCHOOL DISTRICT",0.147540983606557,1150.1
2397,"LE SUEUR-HENDERSON SCHOOL DISTRICT",0.227272727272727,1145.6
2448,"MARTIN COUNTY WEST SCHOOL DISTRICT",0.212121212121212,1147.3
2527,"NORMAN COUNTY WEST SCHOOL DISTRICT",0.352941176470588,1142
2534,"BIRD ISLAND-OLIVIA-LAKE LILLIAN",0.204081632653061,1151.7
2536,"GRANADA HUNTLEY-EAST CHAIN",0.111111111111111,1141.4
2580,"EAST CENTRAL SCHOOL DISTRICT",0.405405405405405,1142.3
2609,"WIN-E-MAC SCHOOL DISTRICT",0.210526315789474,1152.3
2683,"GREENBUSH-MIDDLE RIVER SCHOOL DIST.",0.1875,1150.2
2687,"HOWARD LAKE-WAVERLY-WINSTED",0.166666666666667,1143.7
2689,"PIPESTONE AREA SCHOOL DISTRICT",0.236363636363636,1145
2711,"MESABI EAST SCHOOL DISTRICT",0.246153846153846,1141.1
2752,"FAIRMONT AREA SCHOOL DISTRICT",0.23972602739726,1150.4
2753,"LONG PRAIRIE-GREY EAGLE SCHOOL DIST",0.169230769230769,1150
2754,"CEDAR MOUNTAIN SCHOOL DISTRICT",0.146341463414634,1141.8
2769,"MORRIS AREA PUBLIC SCHOOLS",0.152777777777778,1152.6
2805,"ZUMBROTA-MAZEPPA SCHOOL DISTRICT",0.157303370786517,1144.9
2835,"JANESVILLE-WALDORF-PEMBERTON",0.203389830508475,1147.3
2853,"LAC QUI PARLE VALLEY SCHOOL DIST.",0.178571428571429,1144.1
2854,"ADA-BORUP PUBLIC SCHOOL DISTRICT",0.225,1144.3
2856,"STEPHEN-ARGYLE CENTRAL SCHOOLS",0.172413793103448,1148.9
2859,"GLENCOE-SILVER LAKE SCHOOL DISTRICT",0.0882352941176471,1148.9
2860,"BLUE EARTH AREA PUBLIC SCHOOL",0.298969072164948,1144.2
2884,"RED ROCK CENTRAL SCHOOL DISTRICT",0.114285714285714,1157
2886,"GLENVILLE-EMMONS SCHOOL DISTRICT",0.2,1134.6
2888,"CLINTON-GRACEVILLE-BEARDSLEY",0.16,1141.3
2889,"LAKE PARK AUDUBON SCHOOL DISTRICT",0.173076923076923,1149.7
2890,"RENVILLE COUNTY WEST SCHOOL DIST.",0.228571428571429,1147
2895,"JACKSON COUNTY CENTRAL SCHOOL DIST.",0.227272727272727,1145.9
2897,"REDWOOD AREA SCHOOL DISTRICT",0.344086021505376,1143
2898,"WESTBROOK-WALNUT GROVE SCHOOLS",0.15625,1139.3
2899,"PLAINVIEW-ELGIN-MILLVILLE",0.0659340659340659,1147.4
2902,"RTR PUBLIC SCHOOLS",0.131578947368421,1146.4
2903,"ORTONVILLE PUBLIC SCHOOLS",0.282051282051282,1147.2
2904,"TRACY AREA PUBLIC SCHOOL DISTRICT",0.254545454545455,1153.9
2905,"TRI-CITY UNITED SCHOOL DISTRICT",0.15625,1141.4
2906,"RED LAKE COUNTY CENTRAL PUBLIC SCH",0.142857142857143,1134
2908,"BRANDON-EVANSVILLE PUBLIC SCHOOLS",0.103448275862069,1152.9
